"","Ind_ID","label","GENDER","Car_Owner","Propert_Owner","CHILDREN","Annual_income","Type_Income","EDUCATION","Marital_status","Housing_type","Birthday_count","Employed_days","Mobile_phone","Work_Phone","Phone","EMAIL_ID","Type_Occupation","Family_Members"
"403",5050768,0,"F","N","N",2,337500,"Working","Secondary / secondary special","Married","House / apartment",-10990,-2174,1,0,0,0,"Core staff",4
"423",5092242,0,"F","N","N",0,117000,"Working","Secondary / secondary special","Married","House / apartment",-20754,-2330,1,0,0,0,"",2
"737",5126543,0,"F","Y","N",0,112500,"Working","Secondary / secondary special","Married","House / apartment",-10238,-3453,1,0,0,0,"Laborers",2
"953",5090082,0,"M","N","N",0,180000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-15051,-1678,1,0,0,0,"",2
"226",5096061,0,"F","N","N",2,73350,"Working","Secondary / secondary special","Married","House / apartment",-14321,-7068,1,0,0,0,"Medicine staff",4
"1450",5105715,0,"F","N","Y",0,180000,"Working","Secondary / secondary special","Married","House / apartment",-13856,-3010,1,0,0,0,"Laborers",2
"1183",5028990,0,"F","N","N",2,81000,"Working","Lower secondary","Single / not married","House / apartment",-15373,-2333,1,0,0,0,"Sales staff",3
"903",5094896,0,"M","Y","Y",1,180000,"Working","Secondary / secondary special","Civil marriage","House / apartment",-14136,-3928,1,0,0,0,"Managers",3
"1419",5088181,0,"F","N","N",0,180000,"Working","Incomplete higher","Widow","House / apartment",-19629,-1897,1,1,1,0,"Core staff",1
"1258",5010010,0,"F","N","Y",1,112500,"State servant","Incomplete higher","Civil marriage","House / apartment",-10926,-3570,1,0,1,0,"Secretaries",3
"870",5089225,0,"M","N","N",0,112500,"Pensioner","Secondary / secondary special","Married","House / apartment",-23027,365243,1,0,1,0,"",2
"1079",5050724,0,"F","Y","N",0,360000,"Working","Higher education","Married","House / apartment",-12845,-2296,1,1,1,0,"Accountants",2
"535",5100461,0,"M","Y","Y",1,202500,"Commercial associate","Secondary / secondary special","Civil marriage","House / apartment",-12417,-2499,1,0,0,0,"High skill tech staff",3
"391",5117756,0,"M","Y","N",0,306000,"Working","Secondary / secondary special","Married","House / apartment",-16011,-1649,1,0,0,0,"Managers",2
